001.sig,BCW_201894.sig
002.sig,BCW_201868.sig
003.sig,BCW_201880.sig
004.sig,BCW_201936.sig
006.sig,BCW_201895.sig
007.sig,BCW_201870.sig
008.sig,BCW_201856.sig
009.sig,BCW_201173.sig
010.sig,BCW_200726.sig
011.sig,BCW_200328.sig
014.sig,BCW_200444.sig
015.sig,BCW_201809.sig
016.sig,BCW_201813.sig
017.sig,BCW_201889.sig
018.sig,BCW_200902.sig
019.sig,BCW_201878.sig
020.sig,BCW_201085.sig
021.sig,BCW_201933.sig
022.sig,BCW_201917.sig
023.sig,BCW_201885.sig
024.sig,BCW_200926.sig
025.sig,BCW_201818.sig
026.sig,BCW_201867.sig
027.sig,BCW_200443.sig
028-1.sig,BCW_201831.1.sig
028-2.sig,BCW_201831.2.sig
029.sig,BCW_201879.sig
030.sig,BCW_201882.sig
031.sig,BCW_200727.sig
032.sig,BCW_201236.sig
033.sig,BCW_200566.sig
034.sig,BCW_201866.sig
036.sig,BCW_201876.sig
037.sig,BCW_201883.sig
038.sig,BCW_201187.sig
039.sig,BCW_201884.sig
041.sig,BCW_201152.sig
042.sig,BCW_201303.sig
043.sig,BCW_201874.sig
044.sig,BCW_200808.sig
045.sig,BCW_201083.sig
046.sig,BCW_200596.sig
048.sig,BCW_201153.sig
049.sig,BCW_201834.sig
051.sig,BCW_201888.sig
052.sig,BCW_200279.sig
053.sig,BCW_201815.sig
054.sig,BCW_201859.sig
055.sig,BCW_201858.sig
056.sig,BCW_200270.sig
058.sig,BCW_201910.sig
059.sig,BCW_201045.sig
060.sig,BCW_200661.sig
061.sig,BCW_201887.sig
062.sig,BCW_200556.sig
064.sig,BCW_201851.sig
065.sig,BCW_200621.sig
066.sig,BCW_201873.sig
067.sig,BCW_201849.sig
068.sig,BCW_201860.sig
069.sig,BCW_200810.sig
070.sig,BCW_200488.sig
071.sig,BCW_201840.sig
072.sig,BCW_200533.sig
073.sig,BCW_201245.sig
074.sig,BCW_201025.sig
075.sig,BCW_201260.sig
076.sig,BCW_201162.sig
077.sig,BCW_201185.sig
078.sig,BCW_201259.sig
079.sig,BCW_201877.sig
081.sig,BCW_201824.sig
082.sig,BCW_201832.sig
083.sig,BCW_201844.sig
084.sig,BCW_201836.sig
085.sig,BCW_201926.sig
087.sig,BCW_201847.sig
088.sig,BCW_200885.sig
089.sig,BCW_200620.sig
090.sig,BCW_201939.sig
091.sig,BCW_200570.sig
092.sig,BCW_201808.sig
093.sig,BCW_200882.sig
094.sig,BCW_201915.sig
095.sig,BCW_201835.sig
096.sig,BCW_201825.sig
098.sig,BCW_200665.sig
099.sig,BCW_200938.sig
100.sig,BCW_201814.sig
101.sig,BCW_201850.sig
102.sig,BCW_201875.sig
103.sig,BCW_200290.sig
104.sig,BCW_201901.sig
105.sig,BCW_200473.sig
106.sig,BCW_200883.sig
109.sig,BCW_201909.sig
110.sig,BCW_201990.sig
111.sig,BCW_201659.sig
112.sig,BCW_201886.sig
113.sig,BCW_200939.sig
114.sig,BCW_201176.sig
115.sig,BCW_200955.sig
116.sig,BCW_201897.sig
117.sig,BCW_200561.sig
118.sig,BCW_200904.sig
119.sig,BCW_201084.sig
120.sig,BCW_201819.sig
121.sig,BCW_200725.sig
122.sig,BCW_201862.sig
124.sig,BCW_201098.sig
125.sig,BCW_200498.sig
126.sig,BCW_200539.sig
127.sig,BCW_201916.sig
128.sig,BCW_200662.sig
129.sig,BCW_200723.sig
130.sig,BCW_201090.sig
131.sig,BCW_200715.sig
132.sig,BCW_201830.sig
133.sig,BCW_200517.sig
134.sig,BCW_201861.sig
135.sig,BCW_201823.sig
