BCW_ID,ABB_ID
BCW_201894,001
BCW_201868,002
BCW_201880,003
BCW_201936,004
BCW_201895,006
BCW_201870,007
BCW_201856,008
BCW_201173,009
BCW_200726,010
BCW_200328,011
BCW_200444,014
BCW_201809,015
BCW_201813,016
BCW_201889,017
BCW_200902,018
BCW_201878,019
BCW_201085,020
BCW_201933,021
BCW_201917,022
BCW_201885,023
BCW_200926,024
BCW_201818,025
BCW_201867,026
BCW_200443,027
BCW_201831.1,028-1
BCW_201831.2,028-2
BCW_201879,029
BCW_201882,030
BCW_200727,031
BCW_201236,032
BCW_200566,033
BCW_201866,034
BCW_201876,036
BCW_201883,037
BCW_201187,038
BCW_201884,039
BCW_201152,041
BCW_201303,042
BCW_201874,043
BCW_200808,044
BCW_201083,045
BCW_200596,046
BCW_201153,048
BCW_201834,049
BCW_201888,051
BCW_200279,052
BCW_201815,053
BCW_201859,054
BCW_201858,055
BCW_200270,056
BCW_201910,058
BCW_201045,059
BCW_200661,060
BCW_201887,061
BCW_200556,062
BCW_201851,064
BCW_200621,065
BCW_201873,066
BCW_201849,067
BCW_201860,068
BCW_200810,069
BCW_200488,070
BCW_201840,071
BCW_200533,072
BCW_201245,073
BCW_201025,074
BCW_201260,075
BCW_201162,076
BCW_201185,077
BCW_201259,078
BCW_201877,079
BCW_201824,081
BCW_201832,082
BCW_201844,083
BCW_201836,084
BCW_201926,085
BCW_201847,087
BCW_200885,088
BCW_200620,089
BCW_201939,090
BCW_200570,091
BCW_201808,092
BCW_200882,093
BCW_201915,094
BCW_201835,095
BCW_201825,096
BCW_200665,098
BCW_200938,099
BCW_201814,100
BCW_201850,101
BCW_201875,102
BCW_200290,103
BCW_201901,104
BCW_200473,105
BCW_200883,106
BCW_201909,109
BCW_201990,110
BCW_201659,111
BCW_201886,112
BCW_200939,113
BCW_201176,114
BCW_200955,115
BCW_201897,116
BCW_200561,117
BCW_200904,118
BCW_201084,119
BCW_201819,120
BCW_200725,121
BCW_201862,122
BCW_201098,124
BCW_200498,125
BCW_200539,126
BCW_201916,127
BCW_200662,128
BCW_200723,129
BCW_201090,130
BCW_200715,131
BCW_201830,132
BCW_200517,133
BCW_201861,134
BCW_201823,135
BCW_201014,136
BCW_201881,137
BCW_200722,138
BCW_201899,139
BCW_200496,140
BCW_201864,141
BCW_201872,142
BCW_201838,143
BCW_200505,144
BCW_200275,145
BCW_200705,146
BCW_200607,147
BCW_201900,148
BCW_200600,149
BCW_200724,150
BCW_200599,151
BCW_200847,152
BCW_200986,153
BCW_201902,155
BCW_200669,156
BCW_201290,157
BCW_200307,158
BCW_201812,159
BCW_200552,160
BCW_201019,161
BCW_201703,162
BCW_201079,163
BCW_201151,164
BCW_200449,165
BCW_201056,166
BCW_201263,167
BCW_200266,169
BCW_201848,171
BCW_200274,172
BCW_201871,173
BCW_201954,174
BCW_200470,175
BCW_200565,176
BCW_200920,177
BCW_201891,178
BCW_201865,179
BCW_200529,180
BCW_200821,181
BCW_201315,182
BCW_200991,183
BCW_201972,184
BCW_200736,185
BCW_201833,186
BCW_200828,187
BCW_200598,189
BCW_201845,191
BCW_201097,192
BCW_200567,193
BCW_200542,194
BCW_200446,195
BCW_200648,196
BCW_200460,197
BCW_200547,198
BCW_200718,199
BCW_201827,200
BCW_201896,201
BCW_201175,202
BCW_200634,203
BCW_200815,204
BCW_200951,205
BCW_200471,206
BCW_200642,208
BCW_200912,209
BCW_201184,210
BCW_201957,211
BCW_201853,213
BCW_200801,215
BCW_200525,216
BCW_201826,217
BCW_201302,218
BCW_200462,219
BCW_200477,220
BCW_201008,222
BCW_200578,223
BCW_201945,224
BCW_201726,225
BCW_200800,226
BCW_200516,227
BCW_200776,228
BCW_201938,229
BCW_200555,230
BCW_200983,232
BCW_201839,233
BCW_200797,234
BCW_200656,235
BCW_200881,236
BCW_200855,237
BCW_201304,238
BCW_200281,239
BCW_200574,240
BCW_200458,241
BCW_200903,242
BCW_200650,243
BCW_200553,244
BCW_201854,245
BCW_200886,247
BCW_201975,248
BCW_200588,249
BCW_200312,250
BCW_200806,251
BCW_201257,252
BCW_200880,253
BCW_200952,254
BCW_201450,255
BCW_200436,256
BCW_201445,257
BCW_201010,259
BCW_200557.1,260-1
BCW_200557.2,260-2
BCW_200545,261
BCW_200647,263
BCW_200544,264
BCW_200915,265
BCW_201903,266
BCW_200798,268
BCW_201444,269
BCW_201614,270
BCW_200716,271
BCW_201828,272
BCW_201013,274
BCW_200887,275
BCW_201649,276
BCW_201982,277
BCW_201949,278
BCW_201937,279
BCW_201081,280
BCW_201890,281
BCW_201721,282
BCW_200438,283
BCW_201914,284
BCW_200649,287
BCW_200476,288
BCW_201615,289
BCW_200909,290
BCW_201350,292
BCW_201267,294
BCW_200988,295
BCW_200499,296
BCW_200440,297
BCW_200879,298
BCW_200984,299
BCW_200641,300
BCW_200311,301
BCW_200327,302
BCW_200791,303
BCW_200775,304
BCW_201648,305
BCW_200442,306
BCW_200559,307
BCW_200308,308
BCW_200989,310
BCW_202001,311
BCW_200464,312
BCW_200820,313
BCW_200514,314
BCW_200663,316
BCW_200271,318
BCW_200814,320
BCW_201082,321
BCW_200564,322
BCW_201186,323
BCW_201075,324
BCW_200818,325
BCW_202005,326
BCW_201059,327
BCW_201021,328
BCW_200945,330
BCW_200268,331
BCW_201044,332
BCW_201258,333
BCW_200272,334
BCW_201007,335
BCW_200589,336
BCW_201461,337
BCW_201024,338
BCW_201071,339
BCW_201842,340
BCW_201238,341
BCW_201154,342
BCW_201911,344
BCW_200994,345
BCW_200717,346
BCW_201995,347
BCW_200735,348
BCW_200738,349
BCW_200527,350
BCW_200993,352
BCW_201947,353
BCW_200508,354
BCW_200651,355
BCW_200276,356
BCW_200587,357
BCW_201811,358
BCW_201103,359
BCW_201036,360
BCW_200521,361
BCW_201070,362
BCW_201441,363
BCW_200660,364
BCW_200497,365
BCW_200704,366
BCW_200465,367
BCW_201248,368
BCW_201088,369
BCW_201662,370
BCW_201078,371
BCW_200931,372
BCW_201443,374
BCW_200528,375
BCW_200667,376
BCW_201020,377
BCW_201857,378
BCW_201293,380
BCW_201155,381
BCW_201051,382
BCW_200944,383
BCW_200526,384
BCW_200302,385
BCW_200874,386
BCW_200790,387
BCW_201653,388
BCW_200319,389
BCW_200892,390
BCW_200624,391
BCW_200432,392
BCW_201091,393
BCW_200437,394
BCW_200910,395
BCW_200509,396
BCW_201054,398
BCW_201997,399
BCW_201620,400
BCW_200315,401
BCW_200644,402
BCW_201654,403
BCW_201297,404
BCW_200973,405
BCW_200317,406
BCW_201453,407
BCW_202006,408
BCW_200785,409
BCW_200891,410
BCW_201292,411
BCW_200577,412
BCW_201058,413
BCW_201028,414
BCW_200267,415
BCW_200646,418
BCW_200990,419
BCW_200269,420
BCW_201107,421
BCW_200294,424
BCW_201919,425
BCW_200001,BCW_200001
BCW_200002,BCW_200002
BCW_200003,BCW_200003
BCW_200004,BCW_200004
BCW_200005,BCW_200005
BCW_200006,BCW_200006
BCW_200007,BCW_200007
BCW_200008,BCW_200008
BCW_200009,BCW_200009
BCW_200010,BCW_200010
BCW_200011,BCW_200011
BCW_200012,BCW_200012
BCW_200013,BCW_200013
BCW_200014,BCW_200014
BCW_200015,BCW_200015
BCW_200016,BCW_200016
